Year,Make,Model,NewUsed,ExteriorColor,car_details_link
2024,Chevrolet,Silverado 1500,NEW,Slate Gray Metallic,https://www.goschchevy.com/inventory/3GCPACED6RG127322/
2024,Chevrolet,Blazer,NEW,Blue,https://www.goschchevy.com/inventory/3GNKBERSXRS184090/
2024,Chevrolet,Silverado 2500HD,NEW,Summit White,https://www.goschchevy.com/inventory/1GC4YREY2RF286943/
2024,Chevrolet,Silverado 1500,NEW,Sterling Gray Metallic,https://www.goschchevy.com/inventory/2GCUDDED5R1175581/
2022,Chevrolet,Tahoe,USED,Satin Steel Metallic,https://www.goschchevy.com/inventory/1GNSKSKD1NR155990/
2024,Chevrolet,Silverado 1500,NEW,Sterling Gray Metallic,https://www.goschchevy.com/inventory/3GCPABEK4RG155600/
2023,Chevrolet,Traverse,NEW,Summit White,https://www.goschchevy.com/inventory/1GNERNKW4PJ332402/
2024,Chevrolet,Silverado 1500,NEW,Sterling Gray Metallic,https://www.goschchevy.com/inventory/2GCUDDED2R1175604/
2024,Chevrolet,Silverado 1500,NEW,Summit White,https://www.goschchevy.com/inventory/2GCUDDED7R1175663/
2023,Chevrolet,Traverse,NEW,Summit White,https://www.goschchevy.com/inventory/1GNERNKW4PJ335218/
2024,Chevrolet,Blazer,NEW,Red Hot,https://www.goschchevy.com/inventory/3GNKBERS6RS183700/
2024,Chevrolet,Silverado 2500HD,NEW,Black,https://www.goschchevy.com/inventory/2GC4YREY8R1164028/
2024,Chevrolet,Silverado 1500,NEW,Summit White,https://www.goschchevy.com/inventory/2GCUDDED0R1175651/
2024,Chevrolet,Silverado 1500,NEW,Summit White,https://www.goschchevy.com/inventory/2GCUDDED1R1175674/
2024,Chevrolet,Silverado 3500HD,NEW,Summit White,https://www.goschchevy.com/inventory/2GC4YVEY3R1121726/
2023,Chevrolet,Traverse,NEW,Summit White,https://www.goschchevy.com/inventory/1GNERNKW5PJ338273/
2024,Chevrolet,Tahoe,NEW,Summit White,https://www.goschchevy.com/inventory/1GNSKMKDXRR120494/
2024,Chevrolet,Silverado 1500,NEW,Summit White,https://www.goschchevy.com/inventory/1GCPABEK0RZ222368/
2024,Chevrolet,Silverado 1500,NEW,Summit White,https://www.goschchevy.com/inventory/1GCPABEKXRZ222619/
2024,Chevrolet,Silverado 1500,NEW,Summit White,https://www.goschchevy.com/inventory/1GCRABEK7RZ187322/
2024,Chevrolet,Tahoe,NEW,Summit White,https://www.goschchevy.com/inventory/1GNSKTKL5RR120484/
2022,Tesla,Model Y,USED,White,https://www.goschchevy.com/inventory/7SAYGDEF2NF406828/
2019,Ram,3500,USED,Bright White Clearcoat,https://www.goschchevy.com/inventory/3C63R3EJXKG534117/
2021,Chevrolet,Silverado 1500,USED,Summit White,https://www.goschchevy.com/inventory/3GCUYEEL3MG320862/
2023,Chevrolet,Bolt EUV,NEW,Gray Ghost Metallic,https://www.goschchevy.com/inventory/1G1FY6S01P4207673/
2024,Chevrolet,Silverado 2500HD,NEW,Red Hot,https://www.goschchevy.com/inventory/2GC1YNEY3R1162991/
2024,Chevrolet,Silverado 1500,NEW,Summit White,https://www.goschchevy.com/inventory/3GCPACEK1RG159240/
2024,Chevrolet,Silverado 1500,NEW,Summit White,https://www.goschchevy.com/inventory/3GCPACEK5RG159242/
2024,Chevrolet,Silverado 1500,NEW,Red Hot,https://www.goschchevy.com/inventory/3GCUDFE85RG157894/
2022,Chevrolet,Traverse,USED,Silver Ice Metallic,https://www.goschchevy.com/inventory/1GNEVKKW6NJ174121/
2024,Chevrolet,Silverado 1500,NEW,Lakeshore Blue Metallic,https://www.goschchevy.com/inventory/3GCPDBEK0RG212186/
2024,Chevrolet,Silverado 1500,NEW,Summit White,https://www.goschchevy.com/inventory/3GCPDBEK1RG211547/
2024,Chevrolet,Silverado 1500,NEW,Lakeshore Blue Metallic,https://www.goschchevy.com/inventory/3GCPDBEK1RG212178/
